season,week,kickoff,home_team,home_score,visitors_score,visiting_team
1999,1,1999-04-17T00:00:00+00:00,Dragons,28,16,Admirals
1999,1,1999-04-17T00:00:00+00:00,Galaxy,21,20,Thunder
1999,1,1999-04-18T00:00:00+00:00,Claymores,21,20,Fire
1999,2,1999-04-24T00:00:00+00:00,Admirals,17,13,Galaxy
1999,2,1999-04-24T00:00:00+00:00,Thunder,14,48,Claymores
1999,2,1999-04-25T00:00:00+00:00,Fire,10,19,Dragons
1999,3,1999-05-01T00:00:00+00:00,Dragons,42,10,Thunder
1999,3,1999-05-01T00:00:00+00:00,Fire,30,20,Admirals
1999,3,1999-05-02T00:00:00+00:00,Claymores,35,42,Galaxy
1999,4,1999-05-08T00:00:00+00:00,Admirals,49,23,Thunder
1999,4,1999-05-08T00:00:00+00:00,Galaxy,13,7,Fire
1999,4,1999-05-09T00:00:00+00:00,Claymores,31,21,Dragons
1999,5,1999-05-15T00:00:00+00:00,Dragons,21,15,Galaxy
1999,5,1999-05-15T00:00:00+00:00,Fire,37,6,Claymores
1999,5,1999-05-15T00:00:00+00:00,Thunder,22,19,Admirals
1999,6,1999-05-22T00:00:00+00:00,Admirals,25,36,Fire
1999,6,1999-05-22T00:00:00+00:00,Galaxy,35,42,Claymores
1999,6,1999-05-23T00:00:00+00:00,Thunder,27,20,Dragons
1999,7,1999-05-29T00:00:00+00:00,Admirals,17,28,Dragons
1999,7,1999-05-29T00:00:00+00:00,Fire,20,21,Galaxy
1999,7,1999-05-30T00:00:00+00:00,Claymores,10,28,Thunder
1999,8,1999-06-05T00:00:00+00:00,Galaxy,21,14,Admirals
1999,8,1999-06-05T00:00:00+00:00,Thunder,0,29,Fire
1999,8,1999-06-06T00:00:00+00:00,Dragons,42,35,Claymores
1999,9,1999-06-12T00:00:00+00:00,Dragons,14,59,Fire
1999,9,1999-06-13T00:00:00+00:00,Claymores,20,29,Admirals
1999,9,1999-06-13T00:00:00+00:00,Thunder,19,32,Galaxy
1999,10,1999-06-19T00:00:00+00:00,Admirals,30,22,Claymores
1999,10,1999-06-19T00:00:00+00:00,Fire,38,10,Thunder
1999,10,1999-06-20T00:00:00+00:00,Galaxy,26,28,Dragons
1999,11,1999-06-27T00:00:00+00:00,Dragons,24,38,Galaxy
