season,week,kickoff,home_team,home_score,visitors_score,visiting_team
1992,1,1992-03-21T00:00:00+00:00,Dragons,0,17,Galaxy
1992,1,1992-03-22T00:00:00+00:00,Monarchs,26,20,Knights
1992,1,1992-03-22T00:00:00+00:00,Riders,17,16,Machine
1992,1,1992-03-22T00:00:00+00:00,Thunder,13,9,Glory
1992,2,1992-03-28T00:00:00+00:00,Dragons,15,14,Knights
1992,2,1992-03-28T00:00:00+00:00,Machine,31,29,Thunder
1992,2,1992-03-28T00:00:00+00:00,Monarchs,28,31,Galaxy
1992,2,1992-03-29T00:00:00+00:00,Fire,17,10,Riders
1992,2,1992-03-29T00:00:00+00:00,Glory,6,17,Surge
1992,3,1992-04-04T00:00:00+00:00,Dragons,13,7,Monarchs
1992,3,1992-04-04T00:00:00+00:00,Knights,3,9,Riders
1992,3,1992-04-04T00:00:00+00:00,Surge,14,7,Machine
1992,3,1992-04-05T00:00:00+00:00,Galaxy,7,17,Fire
1992,3,1992-04-05T00:00:00+00:00,Glory,3,28,Thunder
1992,4,1992-04-11T00:00:00+00:00,Galaxy,17,20,Dragons
1992,4,1992-04-11T00:00:00+00:00,Monarchs,17,17,Fire
1992,4,1992-04-11T00:00:00+00:00,Surge,20,23,Riders
1992,4,1992-04-12T00:00:00+00:00,Machine,31,20,Glory
1992,4,1992-04-12T00:00:00+00:00,Thunder,39,21,Knights
1992,5,1992-04-18T00:00:00+00:00,Knights,24,21,Galaxy
1992,5,1992-04-18T00:00:00+00:00,Monarchs,0,9,Dragons
1992,5,1992-04-19T00:00:00+00:00,Riders,17,0,Glory
1992,5,1992-04-19T00:00:00+00:00,Thunder,16,8,Machine
1992,6,1992-04-25T00:00:00+00:00,Galaxy,0,38,Thunder
1992,6,1992-04-25T00:00:00+00:00,Riders,17,14,Fire
1992,6,1992-04-26T00:00:00+00:00,Dragons,20,10,Glory
1992,6,1992-04-26T00:00:00+00:00,Machine,11,34,Knights
1992,6,1992-04-26T00:00:00+00:00,Monarchs,26,31,Surge
1992,7,1992-05-02T00:00:00+00:00,Fire,19,17,Dragons
1992,7,1992-05-02T00:00:00+00:00,Glory,20,17,Galaxy
1992,7,1992-05-03T00:00:00+00:00,Knights,41,13,Monarchs
1992,7,1992-05-03T00:00:00+00:00,Machine,21,35,Surge
1992,7,1992-05-03T00:00:00+00:00,Riders,21,39,Thunder
1992,8,1992-05-09T00:00:00+00:00,Surge,51,7,Galaxy
1992,8,1992-05-09T00:00:00+00:00,Thunder,9,0,Monarchs
1992,8,1992-05-10T00:00:00+00:00,Dragons,0,17,Riders
1992,8,1992-05-10T00:00:00+00:00,Fire,23,16,Machine
1992,8,1992-05-10T00:00:00+00:00,Glory,33,39,Knights
1992,9,1992-05-16T00:00:00+00:00,Knights,47,0,Dragons
1992,9,1992-05-16T00:00:00+00:00,Surge,21,7,Glory
1992,9,1992-05-17T00:00:00+00:00,Fire,24,23,Thunder
1992,9,1992-05-17T00:00:00+00:00,Galaxy,14,43,Riders
1992,9,1992-05-17T00:00:00+00:00,Machine,13,45,Monarchs
1992,10,1992-05-23T00:00:00+00:00,Galaxy,19,16,Monarchs
1992,10,1992-05-23T00:00:00+00:00,Glory,24,27,Fire
1992,10,1992-05-23T00:00:00+00:00,Knights,41,21,Machine
1992,10,1992-05-23T00:00:00+00:00,Riders,21,27,Surge
1992,10,1992-05-23T00:00:00+00:00,Thunder,13,10,Dragons
1992,11,1992-05-30T00:00:00+00:00,Thunder,45,7,Fire
1992,11,1992-05-31T00:00:00+00:00,Surge,17,15,Dragons
1992,12,1992-06-06T00:00:00+00:00,Thunder,17,21,Surge
